STATUS | wrapper  | 2021/07/23 15:42:33 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2021/07/23 15:42:33 | Launching a JVM...
INFO   | jvm 1    | 2021/07/23 15:42:44 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2021/07/23 15:42:44 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2021/07/23 15:42:44 | 
INFO   | jvm 1    | 2021/07/23 15:42:48 | 
INFO   | jvm 1    | 2021/07/23 15:42:48 | WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2021/07/23 15:42:48 |           following files:
INFO   | jvm 1    | 2021/07/23 15:42:48 |             libwrapper-macosx-x86-64.dylib
INFO   | jvm 1    | 2021/07/23 15:42:48 |             libwrapper-macosx-universal-64.dylib
INFO   | jvm 1    | 2021/07/23 15:42:48 |             libwrapper.dylib
INFO   | jvm 1    | 2021/07/23 15:42:48 |           could be located on the following java.library.path:
INFO   | jvm 1    | 2021/07/23 15:42:48 |             /Users/surfin/mycat/lib
INFO   | jvm 1    | 2021/07/23 15:42:48 |           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2021/07/23 15:42:48 |           configuration property.
INFO   | jvm 1    | 2021/07/23 15:42:48 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2021/07/23 15:42:48 | 
INFO   | jvm 1    | 2021/07/23 15:42:48 | path:/Users/surfin/mycat/./conf
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.vertx.core.logging.LoggerFactory - Using io.vertx.core.logging.SLF4JLogDelegateFactory
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] INFO io.mycat.MycatCore - start VertxMycatServer
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.logging.InternalLoggerFactory - Using SLF4J as the default logging framework
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.ResourceLeakDetector - -Dio.netty.leakDetection.level: simple
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.ResourceLeakDetector - -Dio.netty.leakDetection.targetRecords: 4
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent - Platform: MacOS
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - -Dio.netty.noUnsafe: false
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - Java version: 8
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.theUnsafe: available
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.copyMemory: available
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.Buffer.address: available
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - direct buffer constructor: available
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.Bits.unaligned: available, true
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.DirectByteBuffer.<init>(long, int): available
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent - sun.misc.Unsafe: available
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.tmpdir: /var/folders/l9/8szpk33x1gv8cxz0j1w0ncs80000gn/T (java.io.tmpdir)
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.bitMode: 64 (sun.arch.data.model)
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.maxDirectMemory: 3817865216 bytes
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.uninitializedArrayAllocationThreshold: -1
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.CleanerJava6 - java.nio.ByteBuffer.cleaner(): available
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.noPreferDirect: false
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.channel.MultithreadEventLoopGroup - -Dio.netty.eventLoopThreads: 16
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.InternalThreadLocalMap - -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.InternalThreadLocalMap - -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.channel.nio.NioEventLoop - -Dio.netty.noKeySetOptimization: false
